Date,Book,Start Chapter,End Chapter
2024-12-08,3 John,1,1
2024-12-09,Joshua,1,4
2024-12-10,Joshua,5,8
2024-12-11,Joshua,9,12
2024-12-12,Joshua,13,16
2024-12-13,Joshua,17,20
2024-12-14,Joshua,21,24
2024-12-15,Ezra,1,4
2024-12-16,Ezra,5,8
2024-12-17,Ezra,9,10
2024-12-18,Mark,1,4
2024-12-19,Mark,5,8
2024-12-20,Mark,9,12
2024-12-21,Mark,13,16
2024-12-22,Titus,1,3
2024-12-23,Luke,1,4
2024-12-24,Luke,5,8
2024-12-25,Luke,9,12
2024-12-26,Luke,13,16
2024-12-27,Luke,17,20
2024-12-28,Luke,21,24
2024-12-29,Jeremiah,1,4
2024-12-30,Jeremiah,5,8
2024-12-31,Jeremiah,9,12
2025-01-01,Jeremiah,13,16
2025-01-02,Jeremiah,17,20
2025-01-03,Jeremiah,21,24
2025-01-04,Jeremiah,25,28
2025-01-05,Jeremiah,29,32
2025-01-06,Jeremiah,33,36
2025-01-07,Jeremiah,37,40
2025-01-08,Jeremiah,41,44
2025-01-09,Jeremiah,45,48
2025-01-10,Jeremiah,49,52
2025-01-11,1 Timothy,1,4
2025-01-12,1 Timothy,5,6
2025-01-13,2 Timothy,1,4
2025-01-14,Philemon,1,1
2025-01-15,Genesis,1,4
2025-01-16,Genesis,5,8
2025-01-17,Genesis,9,12
2025-01-18,Genesis,13,16
2025-01-19,Genesis,17,20
2025-01-20,Genesis,21,24
2025-01-21,Genesis,25,28
2025-01-22,Genesis,29,32
2025-01-23,Genesis,33,36
2025-01-24,Genesis,37,40
2025-01-25,Genesis,41,44
2025-01-26,Genesis,45,48
2025-01-27,Genesis,49,50
2025-01-28,Haggai,1,2
2025-01-29,Ecclesiastes,1,4
2025-01-30,Ecclesiastes,5,8
2025-01-31,Ecclesiastes,9,12
2025-02-01,Matthew,1,4
2025-02-02,Matthew,5,8
2025-02-03,Matthew,9,12
2025-02-04,Matthew,13,16
2025-02-05,Matthew,17,20
2025-02-06,Matthew,21,24
2025-02-07,Matthew,25,28
2025-02-08,Malachi,1,4
2025-02-09,Psalms,1,4
2025-02-10,Psalms,5,8
2025-02-11,Psalms,9,12
2025-02-12,Psalms,13,16
2025-02-13,Psalms,17,20
2025-02-14,Psalms,21,24
2025-02-15,Psalms,25,28
2025-02-16,Psalms,29,32
2025-02-17,Psalms,33,36
2025-02-18,Psalms,37,40
2025-02-19,Psalms,41,44
2025-02-20,Psalms,45,48
2025-02-21,Psalms,49,52
2025-02-22,Psalms,53,56
2025-02-23,Psalms,57,60
2025-02-24,Psalms,61,64
2025-02-25,Psalms,65,68
2025-02-26,Psalms,69,72
2025-02-27,Psalms,73,76
2025-02-28,Psalms,77,80
2025-03-01,Psalms,81,84
2025-03-02,Psalms,85,88
2025-03-03,Psalms,89,92
2025-03-04,Psalms,93,96
2025-03-05,Psalms,97,100
2025-03-06,Psalms,101,104
2025-03-07,Psalms,105,108
2025-03-08,Psalms,109,112
2025-03-09,Psalms,113,116
2025-03-10,Psalms,117,120
2025-03-11,Psalms,121,124
2025-03-12,Psalms,125,128
2025-03-13,Psalms,129,132
2025-03-14,Psalms,133,136
2025-03-15,Psalms,137,140
2025-03-16,Psalms,141,144
2025-03-17,Psalms,145,148
2025-03-18,Psalms,149,152
2025-03-19,Acts,1,4
2025-03-20,Acts,5,8
2025-03-21,Acts,9,12
2025-03-22,Acts,13,16
2025-03-23,Acts,17,20
2025-03-24,Acts,21,24
2025-03-25,Acts,25,28
2025-03-26,Colossians,1,4
2025-03-27,James,1,4
2025-03-28,James,5,5
2025-03-29,Ezekiel,1,4
2025-03-30,Ezekiel,5,8
2025-03-31,Ezekiel,9,12
2025-04-01,Ezekiel,13,16
2025-04-02,Ezekiel,17,20
2025-04-03,Ezekiel,21,24
2025-04-04,Ezekiel,25,28
2025-04-05,Ezekiel,29,32
2025-04-06,Ezekiel,33,36
2025-04-07,Ezekiel,37,40
2025-04-08,Ezekiel,41,44
2025-04-09,Ezekiel,45,48
2025-04-10,2 Corinthians,1,4
2025-04-11,2 Corinthians,5,8
2025-04-12,2 Corinthians,9,12
2025-04-13,2 Corinthians,13,13
2025-04-14,Lamentations,1,4
2025-04-15,Lamentations,5,5
2025-04-16,Esther,1,4
2025-04-17,Esther,5,8
2025-04-18,Esther,9,12
2025-04-19,Esther,13,16
2025-04-20,1 Corinthians,1,4
2025-04-21,1 Corinthians,5,8
2025-04-22,1 Corinthians,9,12
2025-04-23,1 Corinthians,13,16
2025-04-24,Nehemiah,1,4
2025-04-25,Nehemiah,5,8
2025-04-26,Nehemiah,9,12
2025-04-27,Nehemiah,13,13
2025-04-28,Habakkuk,1,3
2025-04-29,2 Peter,1,3
2025-04-30,Daniel,1,4
2025-05-01,Daniel,5,8
2025-05-02,Daniel,9,12
2025-05-03,Daniel,13,14
2025-05-04,Jude,1,1
2025-05-05,Joel,1,3
2025-05-06,Galatians,1,4
2025-05-07,Galatians,5,6
2025-05-08,2 Kings,1,4
2025-05-09,2 Kings,5,8
2025-05-10,2 Kings,9,12
2025-05-11,2 Kings,13,16
2025-05-12,2 Kings,17,20
2025-05-13,2 Kings,21,24
2025-05-14,2 Kings,25,25
2025-05-15,Judges,1,4
2025-05-16,Judges,5,8
2025-05-17,Judges,9,12
2025-05-18,Judges,13,16
2025-05-19,Judges,17,20
2025-05-20,Judges,21,21
2025-05-21,Song of Songs,1,4
2025-05-22,Song of Songs,5,8
2025-05-23,Romans,1,4
2025-05-24,Romans,5,8
2025-05-25,Romans,9,12
2025-05-26,Romans,13,16
2025-05-27,1 John,1,4
2025-05-28,1 John,5,5
2025-05-29,Nahum,1,3
2025-05-30,Job,1,4
2025-05-31,Job,5,8
2025-06-01,Job,9,12
2025-06-02,Job,13,16
2025-06-03,Job,17,20
2025-06-04,Job,21,24
2025-06-05,Job,25,28
2025-06-06,Job,29,32
2025-06-07,Job,33,36
2025-06-08,Job,37,40
2025-06-09,Job,41,42
2025-06-10,Zechariah,1,4
2025-06-11,Zechariah,5,8
2025-06-12,Zechariah,9,12
2025-06-13,Zechariah,13,14
2025-06-14,Numbers,1,4
2025-06-15,Numbers,5,8
2025-06-16,Numbers,9,12
2025-06-17,Numbers,13,16
2025-06-18,Numbers,17,20
2025-06-19,Numbers,21,24
2025-06-20,Numbers,25,28
2025-06-21,Numbers,29,32
2025-06-22,Numbers,33,36
2025-06-23,Deuteronomy,1,4
2025-06-24,Deuteronomy,5,8
2025-06-25,Deuteronomy,9,12
2025-06-26,Deuteronomy,13,16
2025-06-27,Deuteronomy,17,20
2025-06-28,Deuteronomy,21,24
2025-06-29,Deuteronomy,25,28
2025-06-30,Deuteronomy,29,32
2025-07-01,Deuteronomy,33,34
2025-07-02,Exodus,1,4
2025-07-03,Exodus,5,8
2025-07-04,Exodus,9,12
2025-07-05,Exodus,13,16
2025-07-06,Exodus,17,20
2025-07-07,Exodus,21,24
2025-07-08,Exodus,25,28
2025-07-09,Exodus,29,32
2025-07-10,Exodus,33,36
2025-07-11,Exodus,37,40
2025-07-12,Proverbs,1,4
2025-07-13,Proverbs,5,8
2025-07-14,Proverbs,9,12
2025-07-15,Proverbs,13,16
2025-07-16,Proverbs,17,20
2025-07-17,Proverbs,21,24
2025-07-18,Proverbs,25,28
2025-07-19,Proverbs,29,31
2025-07-20,Ruth,1,4
2025-07-21,1 Peter,1,4
2025-07-22,1 Peter,5,5
2025-07-23,Philippians,1,4
2025-07-24,Hebrews,1,4
2025-07-25,Hebrews,5,8
2025-07-26,Hebrews,9,12
2025-07-27,Hebrews,13,13
2025-07-28,2 Thessalonians,1,3
